player,position,league,usual_category,n_injuries,age,median_days,worst_days,severe_rate
aaron ciammaglichella,Central Midfield,Serie A,muscular,3,20,23.0,74.0,0.3333333333333333
aaron connolly,Forward,Premier League,muscular,4,23,19.0,88.0,0.25
aaron cresswell,Left-Back,Premier League,muscular,3,35,7.0,11.0,0.0
aaron hickey,Right-Back,Serie A,illness,7,23,66.0,474.0,0.5714285714285714
aaron ramsdale,Goalkeeper,Premier League,muscular,4,27,23.5,40.0,0.5
aaron ramsey,Central Midfield,Serie A,muscular,10,31,18.0,405.0,0.2
aaron seydel,Forward,Bundesliga,illness,2,28,32.5,60.0,0.5
aaron wan-bissaka,Right-Back,Premier League,back,4,26,27.0,45.0,0.5
aarón anselmino,Centre-Back,Premier League,muscular,2,20,60.0,82.0,1.0
aarón escandell,Goalkeeper,La Liga,illness,1,25,15.0,15.0,0.0
aarón martín,Left-Back,Serie A,muscular,1,27,28.0,28.0,1.0
abakar sylla,Centre-Back,Ligue 1,other,3,22,16.0,36.0,0.3333333333333333
abdallah sima,Left Winger,Premier League,muscular,9,24,25.0,99.0,0.4444444444444444
abde ezzalzouli,Left Winger,La Liga,muscular,4,23,13.0,23.0,0.0
abde rebbach,Left Winger,La Liga,other,1,25,4.0,4.0,0.0
abdel abqar,Centre-Back,La Liga,ankle_foot,3,26,53.0,82.0,0.6666666666666666
abdelhamid ait boudlal,Centre-Back,Ligue 1,muscular,1,19,13.0,13.0,0.0
abdelhamid sabiri,Attacking Midfield,Serie A,muscular,2,26,14.0,20.0,0.0
abdenego nankishi,Left Winger,Bundesliga,ankle_foot,2,23,16.0,24.0,0.0
abdou diallo,Centre-Back,Ligue 1,knee,8,27,13.5,66.0,0.25
abdou harroui,Central Midfield,Serie A,ankle_foot,5,27,62.0,169.0,0.8
abdoul kader bamba,Right Winger,Ligue 1,muscular,2,29,23.0,27.0,0.0
abdoul koné,Centre-Back,Ligue 1,muscular,2,20,46.0,46.0,1.0
abdoul ouattara,Right Winger,Ligue 1,muscular,2,20,24.5,33.0,0.5
abdoulay diaby,Right Winger,La Liga,back,1,30,20.0,20.0,0.0
abdoulaye doucouré,Attacking Midfield,Premier League,muscular,4,31,47.5,65.0,0.75
abdoulaye kamara,Defensive Midfield,Bundesliga,knee,8,19,53.5,96.0,0.75
abdoulaye touré,Defensive Midfield,Ligue 1,fracture,2,31,36.5,37.0,1.0
abdourahmane barry,Centre-Back,Bundesliga,bruise,1,22,6.0,6.0,0.0
abdul mumin,Centre-Back,La Liga,knee,1,27,215.0,215.0,1.0
abdul rahman baba,Left-Back,Premier League,muscular,3,28,18.0,41.0,0.3333333333333333
abel ruiz,Forward,La Liga,other,1,25,38.0,38.0,1.0
ablie jallow,Right Midfield,Ligue 1,knee,2,25,48.5,49.0,1.0
abner,Left-Back,La Liga,ankle_foot,1,24,22.0,22.0,0.0
aboubakar kamara,Forward,Ligue 1,other,2,26,11.0,11.0,0.0
achraf dari,Centre-Back,Ligue 1,ankle_foot,6,26,13.5,39.0,0.3333333333333333
achraf hakimi,Right-Back,Ligue 1,muscular,4,24,8.5,20.0,0.0
adam abeddou,Attacking Midfield,Ligue 1,muscular,1,27,15.0,15.0,0.0
adam buksa,Forward,Ligue 1,ankle_foot,2,26,124.0,161.0,1.0
adam dzwigala,Centre-Back,Bundesliga,muscular,1,30,11.0,11.0,0.0
adam forshaw,Central Midfield,Premier League,knee,1,30,70.0,70.0,1.0
adam hlozek,Second Striker,Bundesliga,ankle_foot,3,23,23.0,51.0,0.3333333333333333
adam idah,Forward,Premier League,knee,1,21,196.0,196.0,1.0
adam lallana,Attacking Midfield,Premier League,muscular,9,37,21.0,83.0,0.2222222222222222
adam mabrouk,Defensive Midfield,Ligue 1,other,1,21,99.0,99.0,1.0
adam marusic,Right-Back,Serie A,ankle_foot,7,33,8.0,36.0,0.14285714285714285
adam masina,Centre-Back,Serie A,other,5,31,70.0,164.0,0.6
adam obert,Centre-Back,Serie A,ankle_foot,3,23,13.0,16.0,0.0
adam ounas,Right Winger,Serie A,muscular,12,26,8.5,49.0,0.25
adam smith,Right-Back,Premier League,muscular,2,34,48.5,64.0,1.0
adam webster,Centre-Back,Premier League,muscular,8,30,29.0,81.0,0.5
adam wharton,Defensive Midfield,Premier League,ankle_foot,2,21,50.0,93.0,0.5
adama soumaoro,Centre-Back,Serie A,other,3,31,22.0,382.0,0.3333333333333333
adama traoré,Right Winger,Premier League,muscular,6,29,18.5,82.0,0.3333333333333333
adel mahamoud,Left Winger,Ligue 1,knee,1,22,182.0,182.0,1.0
ademola lookman,Second Striker,Serie A,other,5,28,15.0,36.0,0.2
adil aouchiche,Attacking Midfield,Ligue 1,other,4,20,14.5,29.0,0.25
adil rami,Centre-Back,Ligue 1,other,1,36,46.0,46.0,1.0
admir mehmedi,Second Striker,Bundesliga,muscular,4,31,29.5,77.0,0.5
admiral muskwe,Forward,Premier League,muscular,2,25,107.5,187.0,1.0
adnan januzaj,Right Winger,La Liga,muscular,4,30,24.0,48.0,0.25
adolfo gaich,Forward,Serie A,illness,2,24,4.0,5.0,0.0
adrian beck,Attacking Midfield,Bundesliga,ankle_foot,2,27,24.5,29.0,0.5
adrian benedyczak,Left Winger,Serie A,ankle_foot,3,24,112.0,181.0,0.6666666666666666
adrian fein,Central Midfield,Bundesliga,illness,3,23,22.0,45.0,0.3333333333333333
adrien lebeau,Attacking Midfield,Ligue 1,other,3,22,30.0,38.0,0.6666666666666666
adrien louveau,Defensive Midfield,Ligue 1,knee,2,23,132.5,254.0,0.5
adrien rabiot,Central Midfield,Serie A,muscular,12,29,7.0,21.0,0.0
adrien silva,Central Midfield,Serie A,knee,1,32,11.0,11.0,0.0
adrien tamèze,Defensive Midfield,Serie A,muscular,4,31,16.5,27.0,0.0
adrien thomasson,Attacking Midfield,Ligue 1,muscular,3,29,21.0,46.0,0.3333333333333333
adrien truffert,Left-Back,Ligue 1,ankle_foot,2,21,51.5,88.0,0.5
adrià pedrosa,Left-Back,La Liga,muscular,4,27,22.0,259.0,0.25
adrián,Goalkeeper,Premier League,muscular,1,35,31.0,31.0,1.0
adrián bernabé,Central Midfield,Serie A,muscular,5,24,23.0,86.0,0.4
adrián lópez,Forward,La Liga,muscular,1,33,29.0,29.0,1.0
adrián rodríguez,Goalkeeper,La Liga,knee,1,23,57.0,57.0,1.0
